"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.191665864491322,0.202971654399261,-0.944298675884567,0.34552520194822
"Prop.of.Male",0.233634245838055,0.225292261257322,1.03702739070653,0.300281594535424
"Prop.of.Age_25_40",0.120323378669995,0.13364057515337,0.900350649732747,0.368416613770833
"Prop.of.White",-0.281106932755745,0.10740432735693,-2.61727753130058,0.00916278230320904
"Prop.of.Asian",-0.256062999126707,0.125087751577508,-2.04706692619734,0.0412334273878522
"Median.Income",-0.00108657990849085,0.000557993175107277,-1.94729963907166,0.0521222307211304
"Prop.of.College.Degree",-0.0767589306044801,0.135795519718668,-0.56525377835369,0.57218366177905
"Prop.of.Utilities.Jobs",0.0364182728444894,0.0672047264547741,0.541900469887297,0.588156051113036
"Prop.of.Goods_Product.Jobs",0.0809985917779469,0.0936705724886454,0.86471759087162,0.387655836962545
"Population.Density",0.00131694499911306,0.000832209581052562,1.5824679613126,0.114247314926094
"Job.Density",-0.002694801722829,0.0037304240343668,-0.722384827569987,0.470434212764801
"Prop.of.Car",0.0968440568792893,0.127089502081555,0.762014606187878,0.446451617009002
"Prop.of.Commercial",-0.134043092850309,0.266874743960126,-0.502269682253394,0.615724213128402
"Prop.of.Industrial",0.10676159761312,0.352243871056612,0.303090007763291,0.761961732218952
"Prop.of.Institutional",0.0857447849332249,0.201979401062949,0.424522423979768,0.671388320146429
"Prop.of.Openspace",0.603164743637688,0.174468284321846,3.45715982696898,0.000597918981951939
"Prop.of.Residential",0.764785658357973,0.210967179684063,3.62514045788206,0.000321894232701344
"Road.Density",0.000347426999299433,0.00127767493407974,0.271921276713213,0.78580761733012
"Bike.Route.Density",0.00390991652865482,0.00791739315423121,0.493838875055142,0.62166160949941
"Transit.Ridership",0.00199085257755691,0.00105830392658713,1.88117281580643,0.0605956238053293
"Distance.to.Nearest.Bike.Station",0.622736522971492,0.190866113699107,3.26268770764209,0.00118786063164722
"Capacity",-0.0103395597963626,0.00221311102892709,-4.67195710527693,3.94932900913158e-06
"No.of.Cases",-0.0719949950843364,0.0802053069544387,-0.897633807763291,0.369862166618285
