"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.42504648157489,0.332316893941735,4.28821557842538,1.80114241483877e-05
"Prop.of.Male",-0.209155325990524,0.372067700756994,-0.562143194813699,0.574018460585756
"Prop.of.Age_25_40",0.090879527907216,0.218123807278927,0.416641947712765,0.676940322135029
"Prop.of.White",0.548941850649849,0.192104722306369,2.85751356895014,0.00426974378311896
"Prop.of.Asian",0.258293534876082,0.241195311589304,1.07088953418751,0.284219102240108
"Median.Income",0.00149655189603754,0.000906983538741864,1.65003203709023,0.0989363836992508
"Prop.of.College.Degree",0.990191549963791,0.227836604164355,4.34605999152574,1.38604675608239e-05
"Prop.of.Utilities.Jobs",-0.0663129051877534,0.113796822231073,-0.58273072909804,0.560074583446004
"Prop.of.Goods_Product.Jobs",-0.160544227563747,0.17063213005113,-0.940879232508198,0.346766751254209
"Population.Density",0.00274778320492387,0.00127385233560978,2.15706571955888,0.0310005441602014
"Job.Density",0.0020839448737591,0.00572082787142027,0.364273304598087,0.715653932291573
"Prop.of.Car",-0.825002183212494,0.217863766418502,-3.78678013684808,0.000152612022747473
"Prop.of.Commercial",0.313102682865372,0.428893859139008,0.730023702120419,0.465375696691784
"Prop.of.Industrial",-1.51693549421821,0.62924399843518,-2.41072699618997,0.0159207606403391
"Prop.of.Institutional",-0.551046237074616,0.337746002820333,-1.63154036605357,0.10277634962479
"Prop.of.Openspace",0.537616257710673,0.287715415834313,1.86856952433953,0.061682729039566
"Prop.of.Residential",-0.658989402684456,0.347967857795077,-1.89382262735469,0.0582485571771298
"Road.Density",0.00450706492435479,0.00203977108732934,2.209593494266,0.0271333872298106
"Bike.Route.Density",0.0281710292581887,0.0128237696027884,2.19678223570574,0.0280360023667434
"Transit.Ridership",-0.00385184300860155,0.00159019527360101,-2.42224528807649,0.0154249349614923
"Distance.to.Nearest.Bike.Station",-0.809585483743346,0.345348751675176,-2.34425484330349,0.0190651396197797
"Capacity",0.0460839622729774,0.00332513771599916,13.8592642497906,1.1181447763921e-43
